transaction_id,date,product,region,quantity,unit_price
f3ef1956-e417-43e1-953f-8cc4ef7b148a,2024-01-15,Mouse,South,3,29.99
26b6c443-387a-43e3-aecf-b0d35d94d0f3,2024-06-08,Monitor,South,2,349.99
d3959d0a-3347-42eb-bb1b-2a68a7b256f8,2024-08-09,Mouse,North,3,29.99
9f2d308f-bab2-48f5-a862-c9d10c07525e,2024-04-03,Keyboard,South,3,79.99
e5a115f8-a546-46e2-a74a-6c8b62dc9add,2024-09-01,Monitor,North,5,349.99
371ca31d-e94d-4fbb-ba97-c8b3d8f601a3,2024-06-11,Keyboard,North,2,79.99
c229a0dc-7dd8-4ebd-b124-90a45509fcd8,2024-05-08,Monitor,East,2,349.99
431bb081-6c28-4969-b979-6e7a6a52ce0d,2024-02-12,Laptop,North,4,999.99
656dc3fc-58ee-4be9-9ee1-26c0143cae15,2024-08-12,Mouse,South,4,29.99
8a72b29d-d99e-4929-8913-9ed940e33ff2,2024-03-24,Mouse,West,3,29.99
108e86d7-f33b-4f7b-867c-21af4c33fabd,2024-01-01,Mouse,West,2,29.99
ac556c40-74f5-42f4-92a9-a035c63847e3,2024-10-17,Mouse,West,5,29.99
82a057f1-baad-4a19-9b22-f094a563fe99,2024-10-29,Keyboard,East,2,79.99
460275ed-ec29-4ecc-98fd-7e588784d827,2024-11-12,Laptop,North,3,999.99
727faa3d-cfdd-44ec-ac30-3afe528bb565,2024-03-02,Mouse,West,5,29.99
13e398c6-9506-473c-b947-89262239c9f7,2024-01-12,Monitor,South,5,349.99
b71f1980-0ccb-44e2-a3f0-1c0d994ac7cd,2024-03-24,Headset,South,3,89.99
5134cece-b122-40fb-9cbb-30655997ca62,2024-07-20,Keyboard,North,4,79.99
5b4ccf75-c1f7-428c-804e-9809ff581237,2024-01-29,Mouse,South,2,29.99
72ec7991-ead6-44d2-a263-1660dabfef43,2024-03-26,Monitor,South,4,349.99
beb9c92b-b2d8-4f5f-a634-83c9002b6899,2024-12-18,Keyboard,West,2,79.99
d0796a8b-a42e-45ba-b663-b350901da3f6,2024-07-17,Headset,South,2,89.99
1a2c8069-7c14-460d-a628-da0d93fd8e5b,2024-12-25,Mouse,West,5,29.99
6b712e18-d458-43ec-b066-bdb4e9ddf376,2024-10-09,Laptop,West,2,999.99
e004b3c9-7164-4553-b196-16d8e2154d16,2024-02-06,Headset,North,5,89.99
5b2241d7-2163-44aa-993b-dc5ae228f0b2,2024-03-26,Laptop,East,3,999.99
c3068045-18da-44ed-a900-a469663417ae,2024-07-12,Laptop,North,3,999.99
2c090419-0543-4192-b5c9-1032919faa57,2024-10-26,Mouse,East,5,29.99
480f9d11-9377-48d9-bea3-a17a3b91921e,2024-10-08,Laptop,North,5,999.99
cb4d3da9-ff2b-44be-aebd-fabb863b9357,2024-12-29,Keyboard,South,2,79.99
4a4762f6-1d97-4fae-9554-54964e3010fc,2024-02-10,Keyboard,North,1,79.99
9788da77-c910-44a9-8fd0-b66e7896ed43,2024-09-02,Mouse,North,4,29.99
9f04cbcc-a385-45ba-882d-d87fc381313c,2024-10-31,Laptop,East,5,999.99
f479de79-fd8b-4d5a-94b0-c2ed4757684f,2024-02-08,Mouse,South,3,29.99
56283b96-93dd-4625-8eda-8e1fc00068e4,2024-05-20,Mouse,South,1,29.99
adc05149-1eef-42b9-8c25-b9dda3cfc807,2024-12-20,Mouse,East,5,29.99
2a064292-4088-45a9-b93a-e54722bb8a8f,2024-12-28,Keyboard,North,1,79.99
83f9105a-d18c-4d87-8301-7a77a220e760,2024-09-10,Headset,South,2,89.99
6f5b14b2-1f20-4df4-8da4-5806155d8e69,2024-09-05,Laptop,East,2,999.99
c1a7403f-f241-4a67-a4f7-07e3a3820063,2024-12-17,Headset,East,4,89.99
7b73d4f9-78a3-410e-bed3-c75ab61109e0,2024-03-21,Mouse,North,1,29.99
16f23735-1b46-4a61-a126-d3864316d25e,2024-05-31,Mouse,North,2,29.99
653a39d2-09eb-4a24-9c70-7be9ae2c470e,2024-04-07,Laptop,South,3,999.99
304822dd-1bef-4239-bd2b-7a4be953b924,2024-11-20,Laptop,West,4,999.99
9110938d-cc7d-43b5-b1ff-638702d94cbe,2024-12-16,Monitor,West,2,349.99
a36daeb0-d685-426e-bcb7-0675fdf1a2d2,2024-09-11,Headset,East,5,89.99
f402e5b1-e7cd-49a0-b721-5cdf520d0cd1,2024-11-29,Mouse,West,5,29.99
be06d9c2-368b-42fd-8462-4fc01ab39c31,2024-02-07,Laptop,North,1,999.99
f9984adf-cf7f-490c-9335-ee1dfe830655,2024-10-14,Mouse,North,3,29.99
21450dcf-506d-4139-94ae-0415dcaaa882,2024-07-28,Monitor,South,1,349.99
dc6bf644-2b55-4268-93bd-1121a437e8c0,2024-08-26,Mouse,West,1,29.99
6458e27c-d632-492a-8857-9dd18c15175c,2024-07-07,Headset,East,1,89.99
8017b181-75a7-48ef-925d-184f2e560717,2024-03-31,Keyboard,East,1,79.99
90f4d8f0-261b-4dd2-a2d4-c8e8b7b2402a,2024-11-09,Headset,South,2,89.99
963fa723-ca33-4298-8bb6-588f5f35a018,2024-08-13,Laptop,East,1,999.99
e2b141ca-0116-4048-ae3c-90cb0a29028a,2024-11-25,Laptop,South,5,999.99
def51439-3431-4ea7-a234-67d1178392d6,2024-05-02,Monitor,South,5,349.99
